patientprocedureid,MediaType,appannotationid,annotationfilepath,annotationfilesize,annotationname,isactive,archivestatus,ProcedureStatus,cognitouser_username,subscriptionstatus,terminationaction,mediaid
2336,Media,c20b9075-e2b2-4da8-a03f-6b1c50e06ba7,public/2336/69BD168F-7FE0-4F8D-BF0F-4852F2546084/videos/original/z_sample_video1.mp4,0,z_sample_video1.mp4,1,NULL,NULL,Devuser.10,11,3,
2260,Media,af033efe-b6b2-464f-9809-47ed6a27666d,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video1.mp4,0,z_sample_video1.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,0514878a-6041-4b04-89c6-743c8edaffb5,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video1.mp4,0,z_sample_video1.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,5aaaa180-6481-4280-a246-e7df8887371f,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video1.mp4,0,z_sample_video1.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,2336c5e8-6455-451c-ad1b-5163ad1f8e8b,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video2.mp4,0,z_sample_video2.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,9d4a880a-0e2a-46e1-b303-472831be5698,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video2.mp4,0,z_sample_video2.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,5f1b4c64-0551-4552-bf59-40a8da1a94b7,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video2.mp4,0,z_sample_video2.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,639d9882-7499-417d-ae0a-42a86443ef8b,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video2.mp4,0,z_sample_video2.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,64792857-0bb3-4734-b956-387836b47ad8,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sample_video2.mp4,15684351,z_sample_video2.mp4,1,NULL,2,devTestRename3,1,NULL,
2260,Media,014e625d-7866-41cf-a017-84fdccf8f536,public/2260/3FB590AA-4A0D-4A94-8AFD-3393BE39D418/videos/original/z_sampleRnvideo3.mp4,15684351,z_sampleRnvideo3.mp4,1,NULL,2,devTestRename3,1,NULL,
2340,Media,6deec06c-41d4-4d0f-9f3e-361108a98303,public/2340/75209152-8579-4BC6-90CE-DFB264B31260/videos/original/z_sample_video.mp4,0,z_sample_video.mp4,1,NULL,NULL,Devuser.10,11,3,
2336,Media,6a879323-dbed-4083-b27b-ca3b5708dab5,public/2336/69BD168F-7FE0-4F8D-BF0F-4852F2546084/videos/original/z_sample_video.mp4,15684351,z_sample_video.mp4,1,NULL,NULL,Devuser.10,11,3,
2336,Media,c010cac4-1072-4e75-b7c5-0b6499021558,NULL,0,false,1,NULL,NULL,Devuser.10,11,3,
2336,Media,2a300626-489d-407d-84c2-9828316c801c,public/2336/69BD168F-7FE0-4F8D-BF0F-4852F2546084/videos/original/z_sample_video.mp4,15684351,z_sample_video.mp4,1,NULL,NULL,Devuser.10,11,3,
2353,Media,CF9127A8-DEA0-435D-9EB8-39595F9F9481,public/2353/CF8AC9E7-363F-4901-AFC2-A6D01312B582/images/original/Image_002.jpg,146031,Image_002.jpg,1,NULL,NULL,Surgeon.6,10,NULL,
